id,url,title,publication,date
1,https://medium.com/mind-cafe/i-took-finlands-free-happiness-masterclass-and-it-transformed-my-mindset-ca0359cf0b24,I Took Finland’s Free Happiness Masterclass and it Transformed My Mindset,Mind Cafe,2024-03-20
2,https://medium.com/mind-cafe/all-my-takeaways-from-the-5am-club-4b3fc396b9a2,All My Takeaways from The 5am Club,Mind Cafe,2024-03-20
3,https://medium.com/mind-cafe/6-stoic-lessons-from-senecas-ancient-wisdom-that-changed-my-life-and-can-change-yours-too-78e435a34eae,6 Stoic Lessons From Seneca’s Ancient Wisdom That Changed My Life (and Can Change Yours Too),Mind Cafe,2024-03-20
4,https://medium.com/mind-cafe/living-beyond-control-and-chaos-how-to-find-freedom-through-responsibility-1b2df2af0e00,Living Beyond Control and Chaos: How to Find Freedom through Responsibility,Mind Cafe,2024-03-20
5,https://medium.com/mind-cafe/heres-what-to-do-when-you-re-feeling-lost-a-practical-guide-669154eccc11,Here’s What To Do When You’re Feeling Lost — A Practical Guide,Mind Cafe,2024-03-20
6,https://medium.com/mind-cafe/how-using-ai-has-made-me-profoundly-more-human-28be1b9c1ab6,How Using AI Has Made Me Profoundly More Human,Mind Cafe,2024-03-20
7,https://medium.com/mind-cafe/read-this-if-dont-break-the-chain-feels-impossible-to-you-85139fb4044b,Read This if “don’t Break the Chain” Feels Impossible to You,Mind Cafe,2024-03-20
8,https://medium.com/personal-growth/the-3-most-powerful-forces-defining-your-life-0e189d9ec8b3,The 3 Most Powerful Forces Defining Your Life,Personal Growth,2024-03-06
9,https://medium.com/personal-growth/how-to-rethink-the-role-of-rest-in-your-life-and-build-a-better-downtime-habit-66b5e473024e,A Reality-Shifting of “REST” in Your Life (And Build a Better Downtime Habit),Personal Growth,2024-01-09
10,https://medium.com/mind-cafe/5-stoic-quotes-to-help-you-fight-subtle-addictions-95ed0eb2e693,5 Stoic Quotes to Help You Fight Subtle Addictions,Mind Cafe,2024-01-09
11,https://medium.com/personal-growth/3-teachings-of-kobun-steve-jobs-zen-master-i-try-to-live-by-f3956adf5c5c,3 Teachings of Kobun (Steve Job’s Zen Master) I Try to Live By,Personal Growth,2024-04-15
12,https://medium.com/personal-growth/one-of-the-best-things-you-can-do-for-your-health-4ec5093ff9eb,One Of The Best Things You Can Do For Your Health,Personal Growth,2024-04-15
13,https://medium.com/personal-growth/7-questions-inspired-by-viktor-frankl-that-will-instantly-shift-your-perspective-on-life-35558e31eb27,7 Questions Inspired by Viktor Frankl That Will Instantly Shift Your Perspective on Life,Personal Growth,2024-01-05
14,https://medium.com/personal-growth/people-with-excellent-social-skills-often-display-these-subtle-behaviors-f773da6e40c6,People with excellent social skills often display these subtle behaviors,Personal Growth,2024-01-05
15,https://medium.com/personal-growth/life-is-a-river-find-your-flow-within-bruce-lee-heraclitus-a939df886465,"Life is a river, find your flow within — Bruce Lee, Heraclitus",Personal Growth,2024-03-31
